company,id,city,dep,sec
Aksüt Kaynak Su Sanayi ve Ticaret A.Ş,5703,Aydın,IE,Water and Mineral Waters
AKTAŞ ELEKTRİK,1274,İstanbul,EE,ELEKTRİK
Aktek Bilgi İşletim Teknolojisi San. ve Tic. A.Ş.,3748,İstanbul,CS,Bilişim
AKTİF ENERJİ İNŞAAT SANAYİ VE TİC.LTD.ŞTİ,3477,Ankara,EE,
AKWEL BURSA TURKEY OTOMOTİV A.Ş,5912,Bursa,IE,Otomotiv yan sanayi
AKY TECHNOLOGY,5788,Mersin,EE,EE
AKYA AKILLI YAPILAR LTD.ŞTİ.,1276,Ankara,EE,
AL BARAKA TÜRK,1277,İstanbul,CS IE,BANKACILIK
Al Quds Pharmaceutical comapny,5851,Ramallah,IE,
Al-Badar Engineering Company Pvt. Ltd,5087,Lahore,ME,Automotive Sector
ALAPALA MAKİNA GIDA SAN.VE TİC. A.Ş.,1278,Çorum,IE,
Alarko Carrier San. ve Tic. A.Ş,4577,Kocaeli,IE,air-conditioning
Alarko Carrier San. ve Tic. A.Ş.,2184,Ankara,IE,
Alarko Carrier San. ve Tic. A.Ş.,4488,Ankara,CS ME,
Alarko Holding,4454,İstanbul,IE,"Taahhüt Grubu, Enerji Grubu, Sanayi ve Ticaret Grubu, Turizm Grubu, Arazi Geliştirme Grubu, Gayrimenkul Yatırım Ortaklığı"
Alarko-Makyol Adi Ortaklığı Levent-Hisarüstü Metro Projesi,3483,İstanbul,EE,
Albaco,5431,Tirana,EE,"IE,CS,EE"
Alberen,5698,İstanbul,EE,automotive aftermarket
Albert-Ludwigs-University Freiburg,2798,Ankara,CS,Computer Graphics
ALBIS PLASTIC GmbH,4815,Hamburg,IE,distribution of special chemicals
ALBtelecom,4820,Tirana,CS EE,Telecommunication
ALCAP Ambalaj Sanayi ve Ticaret A.Ş.,6168,Ankara,ME,ambalaj
"Alcatel-Lucent
Servis Grubu-Development",2187,İstanbul,CS,
"Alcatel-Lucent Telekomünikasyon A.Ş.
NGN-TEC",2186,İstanbul,EE,
Alcatel-Lucent Telekomünikasyon A.Ş.NGN-TEC,3502,İstanbul,IE,
ALCATEL-TELETAŞ TELEKOMÜNİKASYON ENDÜSTRİ TİC. A.Ş,1280,İstanbul,CS EE,BİLİŞİM
ALCHEMY SMART BİLGİ TEKN. SANAYİ VE TİCARET LTD. ŞTİ,4588,Ankara,CS,
"Alçelik Tümosan Türk Motor ve Traktör Sanayi
Planlama Departmanı",2188,Konya,IE,
Alfa Elektronik Ltd.,2827,İstanbul,EE,Automation
ALFA GAMMA ELEKTRONİK LTD.ŞTİ.,1281,Ankara,EE,
Alfa Kazan Makina Sanayii Anonim Şirketi,3509,Ankara,IE,Endüstriyel Kazan ve Makineleri
Alfa-Tek A.Ş,5437,Ankara,IE,
4P Yazılım ve Otomasyon,4307,Ankara,EE,Autamation and Software
4play Digital Workshop,3410,İstanbul,CS,BILISIM
4pps,4037,Ankara,CS,Mobile App Development
4S BİLGİ TEKNOLOJİLERİ LTD.ŞTİ.,1248,Ankara,CS EE,Bilisim
5. Ana Bakım Fabrika Müdürlüğü,6083,Ankara,ME,Savunma Sanayi
"50 MW Rental Power Plant, EnergyPrima Limited",4038,Sylhet,ME,
5N1K Gelişim Akademisi,5084,Ankara,IE,Consultancy
6D Simülasyon,3863,Ankara,CS,
8BİT YAPAY ZEKA VE GÖRÜNTÜ İŞLEME TEKNOLOJİLERİ LTD. ŞTİ.,4240,Ankara,CS,
A Bilgi Teknolojileri Ar-Ge İmalat LTD.,3351,Ankara,CS ME,
A Telekom,4354,İzmir,EE,"GSM Base Stations, Fiber optic infrastructure systems, Telecommunication"
A-KART AKILLI KART BİLGİ GÜVENLİK VE YAZILIM SAN.TİC.LTD.ŞTİ.,1264,Ankara,CS,
A-TEL PAZARLAMA,1321,İstanbul,EE,BİLİŞİM
A-TEL Telekomünikasyon,3149,Ankara,EE,"telekom, elektronik, savunma sanayii"
A&Y Marka Mağzacılık A.Ş.,6104,İstanbul,IE,Fashion Sector
A+S Consult GmbH,5840,Dresden,ME,Infrastructure
A101 Yeni Mağazacılık,5956,İstanbul,IE,Perakende Satış
A101 Yeni Mağazacılık A.Ş. - Lojistik,2595,İstanbul,IE,
a2 LABS İLERİ GÖRÜNTÜ İŞLEME TEKNOLOJİLERİ,4596,Ankara,CS,Yazılım
AB Mikro Nano - Aselsan Bilkent Mikro Nano Teknolojileri San. ve Tic. A.Ş.,4755,Ankara,EE,"IC Manufacturing
MMIC Manufacturing"
ABAD PROJE Yap. Tek. Eğt. Dan. Tur. Sağ. En. San. ve Tic. A.Ş.,4726,Ankara,IE,City Planning
ABank,4238,İstanbul,IE,Bankacılık
ABB  TRANSFORMATÖR FABRİKASI,4647,Ankara,EE,ELEKTRİK
ABB  TRANSFORMATÖR FABRİKASI,4648,İstanbul,EE,ELEKTRİK
ABB ELEKTRİK SANAYİ AŞ.,1249,İstanbul,EE IE,ELEKTRİK
ABB ELEKTRİK SANAYİ AŞ.,4963,İstanbul,ME,ELEKTRİK
ABB Switzerland Ltd.,3192,Turgi,EE,electric and electronics
Abbott,3838,İstanbul,IE,Healthcare
abbvie,3488,Hoofddorp,IE,Pharmaceutical production
Abbvie Tıbbi İlaçlar San. ve Tic. Ltd. Şti.,4255,İstanbul,IE,Pharmaceutical Research & Development
ABC MEDİKALBİLG.EĞT.HİZ.A.Ş.,1250,Ankara,IE,
Abdi İbrahim İlaç Sanayi ve Ticaret A.Ş.,2915,İstanbul,CS IE,
Abdiogullari Plastik ve Ambalaj Sanayi A.S,3825,Adana,IE,
Aboelwafa Contracting and Real Estate Investment Firm,5712,Cairo,IE,
ABS Grup Mühendislik Mimarlık LTD,4288,Ankara,IE,"ana sektör: PVC Doğrama
yan sektör: mimarlık"
AcademyTech,4016,İstanbul,EE,
ACCENTURE,1251,İstanbul,IE,
Accenture,3377,İstanbul,CS,
Accenture,3758,Ankara,CS,
Accenture,5025,İstanbul,CS,
Acerpro Bilişim Çözümleri Yazılım ve Danışmanlık Hizmetleri,3417,İstanbul,CS,Bilişim
ACIBADEM HASTANELERİ,2177,İstanbul,IE,
ACIBADEM PROJE YÖNETİMİ A.Ş.,1252,İstanbul,IE,
ACIBADEM SAĞLIK HİZMETLERİ,1253,İstanbul,CS IE,SAĞLIK
ACROME,4356,İstanbul,CS EE ME,Robotics
acrome,4870,Ankara,EE,Robotics
Acron Bilisim,4535,İstanbul,CS IE,IT
ADALI MAKİNA,5665,Tekirdağ,IE,üretim
AH-MET ASANSÖR SANAYİ VE TİC. LTD. ŞTİ.,6029,Konya,ME,
ahk INTERIORS,3412,Antalya,IE,Furniture
AI4BD,5809,Dresden,CS,AI and Big Data
AIMTECH,4703,Ankara,EE,LED ekran modülleri ve dekoratif LED armatür ürünleri tasarımı
AIR FRANCE FRANSIZ HAVA YOLLARI,1260,İstanbul,CS,HAVAYOLU TAŞIMACILIĞI
AIR TELEKOMUNIKASYON ÇÖZÜMLERİ TİC. SAN. A.Ş.,2523,İstanbul,EE,İletişim
AIRTIES KABLOSUZ İETİŞİM VE DIŞ TİC.A.Ş.,1261,İstanbul,IE,
AISTGroup,6235,Baku,CS,IT
AIV Labs,4231,Ankara,ME,High-Tech nano sensitive laboratory devices design and production.
Air Flow,5773,Karachi,ME,
AirAudit,5056,Karachi,ME,
Airbus Defense and Space,5821,Munich,ME,"Aviation, Defense, Space"
AİRFEL İLERİ İKLİM TEKNOLOJİLERİ,2654,İstanbul,IE,İKLİM
Airties Wireless Networks,5607,İzmir,CS,
Airties Wireless Networks,5614,İzmir,CS,"Elektronik, Yazılım"
Airties Wireless Networks,6001,İstanbul,EE,
Ajans Press,5533,Ankara,CS,Media Regulation
AK  ALÜMİNYUM  A.Ş.,2736,Konya,ME,
"ak elyaf
Üretim Planlama",2181,Kayseri,IE,
